Device:,Musical Grasping Training Aid,,,,,,,,,,,,
Version:, V1.0,,,,,,,,,,,,
Last Updated:,2024-12-18,,,,,,,,,,,,
,,,,,,,,Total filament (g),,Unit Cost,Total Estimated Cost,,
A13,microSD card,DFPlayer takes max 32 GB,,SIRIMAL,Amazon,1,1,1, $6.99 , $6.99 , $6.99 ,,https://www.amazon.ca/Class-Memory-Cards-Micro-Card/dp/B0DC1VMKS8/ref=sr_1_10?crid=1ZITT7WL4KT53&dib=eyJ2IjoiMSJ9.VnrMx5CVq3sW6SDP48qI0yt0E_EgaNIC_Dt4WvuN4hSeCkwy06i_Irbeij6kwaP_GgctBXOAO-uxhL91o9nF2ifkfuXzp4GKpN82pL1_nMRGTw7zQByGHORwvcJO7xe_wbcrKj2jvzC_7WIU4c_mP3hvA3YvHSwRxdz1YeXErKNBmLnMHe6Ua40i2F2PauQH6uAvF4oHaUPPVVeNwbSecLbLdO4mCKc6S7sslU53LNTk-SUTlWg3_HkXn3fA_5F9qIBozIdk5Dw2mKsZ6qdgrzNWE5-dI5HsGgKrZuV6t7g.3PMawx1An2PVFeM_fy2psNneVylS1fQpo56u2fepWcg&dib_tag=se&keywords=microsd+card&qid=1726702428&sprefix=microsd+card%2Caps%2C140&sr=8-10
A14,M3 x 8 mm screws,,,Keystone Electronics,digikey,5,1,5, $0.31 , $1.55 , $1.55 ,,https://www.digikey.ca/en/products/detail/keystone-electronics/9907/317328?utm_adgroup=General&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Product_Zombie%20SKUs&utm_term=&productid=317328&utm_content=General&utm_id=go_cmp-17855401585_adg-_ad-__dev-c_ext-_prd-317328_sig-EAIaIQobChMIhtn994PaiAMVChGtBh0BfwEqEAQYASABEgJMHfD_BwE&gad_source=1&gclid=EAIaIQobChMIhtn994PaiAMVChGtBh0BfwEqEAQYASABEgJMHfD_BwE
A15,24 AWG wire,,,TE Connectivity Raychem Cable Protection,digikey,1,1,1, $1.80 , $1.80 , $1.80 ,,https://www.digikey.ca/en/products/detail/te-connectivity-raychem-cable-protection/55A0111-24-9/2399803
A16,Battery Spring ,Compatible with AAA batteries,,Keystone Electronics,digikey,1,1,1, $0.42 , $0.42 , $0.42 ,,https://www.digikey.ca/en/products/detail/keystone-electronics/5201/316365
A17,Battery Plate,Compatible with AAA batteries,,Keystone Electronics,digikey,1,1,1, $0.22 , $0.22 , $0.22 ,,https://www.digikey.ca/en/products/detail/keystone-electronics/5223/316374
A18,Battery Bridge Plate,Compatible with AAA batteries,,Keystone Electronics,digikey,1,1,1, $0.58 , $0.58 , $0.58 ,,https://www.digikey.ca/en/products/detail/keystone-electronics/5213/316372
,Solder,,,Chip Quik Inc.,digikey,1,1,1, $10.62 , $10.62 , $10.62 ,,https://www.digikey.ca/en/products/detail/chip-quik-inc./RASWLF.031%25201OZ/9681997?utm_adgroup=General&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Product_Zombie%20SKUs&utm_term=&productid=9681997&utm_content=General&utm_id=go_cmp-17855401585_adg-_ad-__dev-c_ext-_prd-9681997_sig-Cj0KCQjwu-63BhC9ARIsAMMTLXSrlG5U0jv_iPQ4mvyKD1_smJVX1vTbhfmfcKyo2JQ8x5cj8aAyKiwaAqW-EALw_wcB&gad_source=1&gclid=Cj0KCQjwu-63BhC9ARIsAMMTLXSrlG5U0jv_iPQ4mvyKD1_smJVX1vTbhfmfcKyo2JQ8x5cj8aAyKiwaAqW-EALw_wcB
,AAA Batteries,Alkaline Batteries,,Energizer,digikey,4,4,1, $5.45 , $5.45 , $5.45 ,,https://www.digikey.ca/en/products/detail/energizer-battery-company/E92/7400190?utm_adgroup=&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Product_Low%20ROAS%20Categories&utm_term=&productid=7400190&utm_content=&utm_id=go_cmp-20291741422_adg-_ad-__dev-c_ext-_prd-7400190_sig-EAIaIQobChMItuLvvIfaiAMV5x6tBh2UYygrEAQYAiABEgKAB_D_BwE&gad_source=1&gclid=EAIaIQobChMItuLvvIfaiAMV5x6tBh2UYygrEAQYAiABEgKAB_D_BwE
,,Shipping (flat rate for digikey),,,digikey,1,1,1, $8.00 , $8.00 , $8.00 ,,
,3D Printed Parts,,,,,,,101,, $2.53 , $2.53 ,,
,Part,Description,Filament Type,Filament,Color,QTY / Device,Mass (g) / Part,Total Mass,$ / kg,$ / Device,Total Estimated Cost,,Link
A19,Electronic Tube Half,Device tube half holding electronics,PLA,,Any,1,34,34, $25.00 , $0.85 , $0.85 ,,
A20,Battery Tube Half,Device tube half holding batteries,PLA,,Any,1,43,43, $25.00 , $1.08 , $1.08 ,,
A21,Battery Cap,Cap that holds batteries in place,PLA,,Any,1,1,1, $25.00 , $0.03 , $0.03 ,,
A22,MPR121 Clip,Attaches MPR121 to electronic tube half,PLA,,Any,1,3,3, $25.00 , $0.08 , $0.08 ,,
A23,Speaker End Cap,End cap that covers speaker,PLA,,Any,1,11,11, $25.00 , $0.28 , $0.28 ,,
A24,Switch End Cap,End cap that covers switch/buttons,PLA,,Any,1,9,9, $25.00 , $0.23 , $0.23 ,,
,,,,,,,,,,,,,
,Tools,,,,,,,,,,,,
,Tool,Description,,Manufacturer,Supplier,,,,,,,,Link
T01,Philips Screwdriver,For screwing/ unscrewing device screws,,Wera,Amazon,,,,,,,,https://www.amazon.ca/Wera-05008725002-Kraftform-Phillips-Screwdriver/dp/B0035YLT08/ref=sr_1_30?crid=3RUZT3FEKISF9&dib=eyJ2IjoiMSJ9.yqTnORoWN6hnb6Q6Xlyy_h3tUb_agv_wwNZckajn6l_IGeNwSkJ5agQFARCJkuo8oXGbyvRJ6FFrhjxhHT4HRQ6QkcDKJL7pbmhI9EmG9zXWozTAbae0aLG6sZPMvukroqaaDOeOF_tgvKKzyQhpHzoM0cJ9aOQGCzQp170yqdUYZPQHgtPaYH9pg35lIq9WaRGMxDODAezAfIxUbNdW4OoMWi60UClIr8zvQFEOLGU1Z-4Kpw1mzlSjhV9tpaPsN7m2AMQKC2ELiFAt_KmjhsG-ZpisIwR135bKomw5Lx0.alM4gaYdmS0ZfWMQN4iA_gVFk6NGgK1Sf5GhRuXU1gM&dib_tag=se&keywords=phillips%2Bscrewdriver&qid=1727116988&sprefix=philips%2Bscred%2Caps%2C145&sr=8-30&th=1
T02,Wire Strippers,For stripping wire,,Hakko,Amazon,,,,,,,,https://www.amazon.ca/Hakko-CSP-30-1-Stripper-Maximum-Capacity/dp/B00FZPHMUG/ref=sr_1_5?crid=HLN6S0CKW1IP&dib=eyJ2IjoiMSJ9.xXazaaX7mR14hdyXzaCBIvQGYFckAEW681bP6sMAJ97PfyhUusxksUdSt4YbeV1z-EwBML7r9XyzA_MWsoA2GF-wy_W4H5SHcXQcJzDwVgfVxQzUroxptAd-idh1CWYP0BaM8DZwsAsBNmtnowABIK-1Dj6IBcHuEw5BB5NtXpeYEI749FMh4VyPZGmPEDvWBLdoS5ibLFmlniNa3NfMtYdvWTo3NwWrHf93d024V7BDlZTOB-1Gpg0334EteYLvpeNNpgK8dsNcrsh3dpMBSOssB5y4Y0k3Vk2SeZTWT3M.E1zv2TWmkTjrqQGKQshTTdC5L0o6BWBr9Now99xh2do&dib_tag=se&keywords=hakko+wire+stripper&qid=1727117284&sprefix=hakko+wire+s%2Caps%2C156&sr=8-5
T03,Flush Cutters,For trimming leads,,Hakko,Amazon,,,,,,,,https://www.amazon.ca/AstroAI-Digital-Multimeter-2000Counts-Voltage/dp/B01ISAMUA6/ref=sr_1_1?crid=3PQ7X77SWFJ5H&dib=eyJ2IjoiMSJ9.I9zzGqKw5DAjOpmX6qPOpZB48jxZHpHlO8O6iCWDejiTZPC5aSMAqOTw13Cw2E1OjM8yg7tk3hCL0oYeIyv1lXc0IfGrJiqIPDZcg2BErxumWqRH6VoA0yV5Z7wsVdSFWZn8M_hUOwN-w2-zH_gjznbIMWkVYgx8J198AoSgCzVM5sQir6uIe5iqXCusXlR31PYSJRIXTzLVeL0OcpzDAG5o0bh7ECfMH4wG0ngm6UzCZ90Jfa9tphQO0b1rRMahtH3h5fYaiTY1mt_PghyItm5Jo6zGn5o6NewtnkJZEY4.getM7EVmicX-XdBZv-nxrEBBVJ4LPchLFrD4fQ5Cr8g&dib_tag=se&keywords=multimeter&qid=1727804677&sprefix=multimeter%2Caps%2C139&sr=8-1
T04,Needle Nose Pliers,For installing battery clips and wiring,,Craftsman,Amazon,,,,,,,,https://www.amazon.ca/CRAFTSMAN-CMHT81644-Long-Nose-PLIER-6IN/dp/B09JB2HS1D/ref=sr_1_5?crid=1YH1KMFNVC014&dib=eyJ2IjoiMSJ9.TIIfwH5eLcCovhYW-IAdYfmTvyAdZqsyCSjVdb5BMxdzkm8BCYNKLgjsGIptIfx-exdqrPIBID_d8SHDcT8fMpshrnn-pHNG35E92BoNWKFZtveLLbDjOkOmJQxTFtWc8WWtChemXd04YvptofJizfbkkKE8DPrUBgFn10Ou9dIjpwR095rYU3IImCCPh4kKdu80U2Gk5ZC1HjjlRIJNsD4jKGF4mucK7arzmBh95wGFUoYK6e8jno4hgnW5UP4DeDFdhFbULJi74Dw2_JDtp3OQs2EiwTor4Aqf2hBDUbM.hOAADd9p8jfM-PYSp4RHqSf9O1poFy9n5v4Fv9k-bvs&dib_tag=se&keywords=needle+nose+pliers&qid=1727116854&sprefix=needle+nose+plier%2Caps%2C149&sr=8-5
T05,Soldering Iron,For soldering electronic components,,Vastar,Amazon,,,,,,,,https://www.amazon.ca/Vastar-Soldering-Iron-Anti-Static-Off/dp/B07RZV2DW8/ref=sxts_b2b_sx_reorder_acb_customer?content-id=amzn1.sym.4aad25fb-4847-4725-ad39-7493315f6f8d%3Aamzn1.sym.4aad25fb-4847-4725-ad39-7493315f6f8d&cv_ct_cx=soldering%2Biron&dib=eyJ2IjoiMSJ9.F8i0n4-sslXXlinYv73TKSDloYX6UXFOBf-jZRjmEIA.xqQM7DBwfEnEC0QZnHWubqqfDnYSKaBkFKaXuMBV2Ig&dib_tag=se&keywords=soldering%2Biron&pd_rd_i=B07RZV2DW8&pd_rd_r=9751f05c-1924-48ad-a266-b57ed8637ecb&pd_rd_w=E3NSc&pd_rd_wg=DsSs9&pf_rd_p=4aad25fb-4847-4725-ad39-7493315f6f8d&pf_rd_r=0CQ3C5DXRGPGVAHW8HT6&qid=1727117505&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9f062ed5-8905-4cb9-ad7c-6ce62808241a&th=1
T06,Multimeter,For device testing,,AstroAI,Amazon,,,,,,,,https://www.amazon.ca/AstroAI-Digital-Multimeter-2000Counts-Voltage/dp/B01ISAMUA6/ref=sr_1_1?crid=3PQ7X77SWFJ5H&dib=eyJ2IjoiMSJ9.I9zzGqKw5DAjOpmX6qPOpZB48jxZHpHlO8O6iCWDejiTZPC5aSMAqOTw13Cw2E1OjM8yg7tk3hCL0oYeIyv1lXc0IfGrJiqIPDZcg2BErxumWqRH6VoA0yV5Z7wsVdSFWZn8M_hUOwN-w2-zH_gjznbIMWkVYgx8J198AoSgCzVM5sQir6uIe5iqXCusXlR31PYSJRIXTzLVeL0OcpzDAG5o0bh7ECfMH4wG0ngm6UzCZ90Jfa9tphQO0b1rRMahtH3h5fYaiTY1mt_PghyItm5Jo6zGn5o6NewtnkJZEY4.getM7EVmicX-XdBZv-nxrEBBVJ4LPchLFrD4fQ5Cr8g&dib_tag=se&keywords=multimeter&qid=1727804677&sprefix=multimeter%2Caps%2C139&sr=8-1
T07,Scissors,For cutting copper tape,,Scotch,Amazon,,,,,,,,https://www.amazon.ca/Scotch-Multi-Purpose-Scissors-1-Pack-1428ESF/dp/B00GGBHT6U/ref=sr_1_9?crid=2NPC7BE8695MB&dib=eyJ2IjoiMSJ9.kOBlN2DJtxcR0m0TgYxVqS4RQdC_eCqRxpOTAzf6Y46car-2axz1uBjqnJU1vbi63Pt2Poe-xyUaZmdRu4STPEtFXS8n9UhqtHxWlKQ_Inyff_dFYSZEHNTZZGyAG9irbCQW86p1eN7ke0rk-a_vkdS2YfmwXQHr7U1J8u6X3UeKMtH7hEfWaj8fTOUoj-BVagx0IQAXCspB88X8_Z1iU4vthKZu5HqKbZBDusC3k3mgE1TeyF1znTnw0pN7rboF_LwgUVAS7fEejdiN7ZgbO35lvm710Np59pNk-HAJhlM.KPHv1UVnbeHdmh1Iz-Zhio7SRhXoiJh4-QD0IJ34q3E&dib_tag=se&keywords=scissors&qid=1727804579&sprefix=scissor%2Caps%2C134&sr=8-9&th=1
,Alternatives,,,,,,,,,,,,
,Part,Description,,Manufacturer,Supplier,QTY / Device,QTY / PKG,PKGs,$/ PKG,$ / Device,Total Estimated Cost,,Link
A08,Adafruit MPR121 Touch Sensor,Order from Adafruit website if digikey sold out,,Adafruit Industries,Adafruit,1,1,1, $10.76 , $10.76 , $10.76 ,,https://www.adafruit.com/product/1982
